mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%
,,,,,,,,,,,,,,,,,,
Movers,,,,,,,,,,,,,,,,,,
Axial,Temp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Workspace Unsecure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
****Waveform Information is written at start of Data Acquisition, not start of waveform.****,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Axial,Block,Step:1,Ramp to Level,Control Channel Load,Level: 0.140400,Rate: 0.100000,Channel: Load,,,,,,,,,,,
Axial,Block,Step:2,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:3,Triangle Wave,Control Channel Disp,Level1: 0.000000,Level2: 0.464000,Cycles: 20,Frequency: 0.167000,,,,,,,,,,
Axial,Block,Step:4,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:5,Ramp,Control Channel Disp,Level: 1.160000,Rate: 0.116000,,,,,,,,,,,,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
134,19.4712,19.4712,-0.80689,0.21,,,,,,,,,,,,,,
135,19.6176,19.6176,-0.784279,0.23,,,,,,,,,,,,,,
136,19.764,19.764,-0.76138,0.26,,,,,,,,,,,,,,
137,19.9104,19.9104,-0.738676,0.29,,,,,,,,,,,,,,
138,20.0568,20.0568,-0.716026,0.33,,,,,,,,,,,,,,
139,20.2032,20.2032,-0.693403,0.36,,,,,,,,,,,,,,
140,20.3496,20.3496,-0.670576,0.39,,,,,,,,,,,,,,
141,20.496,20.496,-0.647955,0.44,,,,,,,,,,,,,,
142,20.6424,20.6424,-0.663664,0.36,,,,,,,,,,,,,,
143,20.7888,20.7888,-0.686669,0.31,,,,,,,,,,,,,,
144,20.9352,20.9352,-0.709502,0.25,,,,,,,,,,,,,,
145,21.0816,21.0816,-0.732266,0.21,,,,,,,,,,,,,,
146,21.228,21.228,-0.754887,0.19,,,,,,,,,,,,,,
147,21.3744,21.3744,-0.777657,0.15,,,,,,,,,,,,,,
148,21.5208,21.5208,-0.800495,0.13,,,,,,,,,,,,,,
149,21.6672,21.6672,-0.823083,0.12,,,,,,,,,,,,,,
150,21.8136,21.8136,-0.845904,0.1,,,,,,,,,,,,,,
151,21.96,21.96,-0.868522,0.08,,,,,,,,,,,,,,
152,22.1064,22.1064,-0.891179,0.08,,,,,,,,,,,,,,
153,22.2528,22.2528,-0.913844,0.08,,,,,,,,,,,,,,
154,22.3992,22.3992,-0.936593,0.06,,,,,,,,,,,,,,
155,22.5456,22.5456,-0.959154,0.06,,,,,,,,,,,,,,
156,22.692,22.692,-0.981952,0.05,,,,,,,,,,,,,,
157,22.8384,22.8384,-1.004655,0.05,,,,,,,,,,,,,,
158,22.9848,22.9848,-1.027452,0.05,,,,,,,,,,,,,,
159,23.1312,23.1312,-1.05004,0.04,,,,,,,,,,,,,,
160,23.2776,23.2776,-1.072869,0.04,,,,,,,,,,,,,,
161,23.424,23.424,-1.095532,0.04,,,,,,,,,,,,,,
162,23.5704,23.5704,-1.09955,0.04,,,,,,,,,,,,,,
163,23.7168,23.7168,-1.07679,0.04,,,,,,,,,,,,,,
164,23.8632,23.8632,-1.053989,0.05,,,,,,,,,,,,,,
165,24.0096,24.0096,-1.031393,0.05,,,,,,,,,,,,,,
166,24.156,24.156,-1.008634,0.03,,,,,,,,,,,,,,
167,24.3024,24.3024,-0.986055,0.06,,,,,,,,,,,,,,
168,24.4488,24.4488,-0.963148,0.08,,,,,,,,,,,,,,
169,24.5952,24.5952,-0.940519,0.09,,,,,,,,,,,,,,
170,24.7416,24.7416,-0.917824,0.1,,,,,,,,,,,,,,
171,24.888,24.888,-0.895175,0.1,,,,,,,,,,,,,,
172,25.0344,25.0344,-0.87255,0.12,,,,,,,,,,,,,,
173,25.1808,25.1808,-0.849928,0.13,,,,,,,,,,,,,,
174,25.3272,25.3272,-0.827194,0.15,,,,,,,,,,,,,,
175,25.4736,25.4736,-0.804591,0.18,,,,,,,,,,,,,,
176,25.62,25.62,-0.78201,0.21,,,,,,,,,,,,,,
177,25.7664,25.7664,-0.759185,0.24,,,,,,,,,,,,,,
178,25.9128,25.9128,-0.736491,0.26,,,,,,,,,,,,,,
179,26.0592,26.0592,-0.713811,0.3,,,,,,,,,,,,,,
180,26.2056,26.2056,-0.691237,0.33,,,,,,,,,,,,,,
181,26.352,26.352,-0.668351,0.37,,,,,,,,,,,,,,
182,26.4984,26.4984,-0.645806,0.43,,,,,,,,,,,,,,
183,26.6448,26.6448,-0.66593,0.34,,,,,,,,,,,,,,
184,26.7912,26.7912,-0.688977,0.29,,,,,,,,,,,,,,
185,26.9376,26.9376,-0.711718,0.23,,,,,,,,,,,,,,
186,27.084,27.084,-0.734493,0.21,,,,,,,,,,,,,,
187,27.2304,27.2304,-0.757174,0.16,,,,,,,,,,,,,,
188,27.3768,27.3768,-0.779873,0.14,,,,,,,,,,,,,,
189,27.5232,27.5232,-0.802755,0.12,,,,,,,,,,,,,,
190,27.6696,27.6696,-0.825279,0.1,,,,,,,,,,,,,,
191,27.816,27.816,-0.848203,0.08,,,,,,,,,,,,,,
192,27.9624,27.9624,-0.870778,0.07,,,,,,,,,,,,,,
193,28.1088,28.1088,-0.893462,0.07,,,,,,,,,,,,,,
194,28.2552,28.2552,-0.916081,0.07,,,,,,,,,,,,,,
195,28.4016,28.4016,-0.938809,0.05,,,,,,,,,,,,,,
196,28.548,28.548,-0.961361,0.05,,,,,,,,,,,,,,
197,28.6944,28.6944,-0.984281,0.05,,,,,,,,,,,,,,
198,28.8408,28.8408,-1.006945,0.04,,,,,,,,,,,,,,
199,28.9872,28.9872,-1.029651,0.04,,,,,,,,,,,,,,
200,29.1336,29.1336,-1.052243,0.03,,,,,,,,,,,,,,
201,29.28,29.28,-1.075023,0.04,,,,,,,,,,,,,,
202,29.4264,29.4264,-1.097702,0.01,,,,,,,,,,,,,,
203,29.5728,29.5728,-1.097287,0.03,,,,,,,,,,,,,,
204,29.7192,29.7192,-1.074634,0.03,,,,,,,,,,,,,,
205,29.8656,29.8656,-1.051737,0.05,,,,,,,,,,,,,,
206,30.012,30.012,-1.029267,0.05,,,,,,,,,,,,,,
207,30.1584,30.1584,-1.006388,0.05,,,,,,,,,,,,,,
208,30.3048,30.3048,-0.983755,0.05,,,,,,,,,,,,,,
209,30.4512,30.4512,-0.960946,0.07,,,,,,,,,,,,,,
210,30.5976,30.5976,-0.938296,0.07,,,,,,,,,,,,,,
211,30.744,30.744,-0.915509,0.08,,,,,,,,,,,,,,
212,30.8904,30.8904,-0.892955,0.1,,,,,,,,,,,,,,
213,31.0368,31.0368,-0.870243,0.1,,,,,,,,,,,,,,
214,31.1832,31.1832,-0.847658,0.12,,,,,,,,,,,,,,
215,31.3296,31.3296,-0.824957,0.15,,,,,,,,,,,,,,
216,31.476,31.476,-0.802383,0.16,,,,,,,,,,,,,,
217,31.6224,31.6224,-0.779551,0.19,,,,,,,,,,,,,,
218,31.7688,31.7688,-0.756905,0.22,,,,,,,,,,,,,,
219,31.9152,31.9152,-0.734319,0.25,,,,,,,,,,,,,,
220,32.0616,32.0616,-0.711571,0.27,,,,,,,,,,,,,,
221,32.208,32.208,-0.689006,0.32,,,,,,,,,,,,,,
222,32.3544,32.3544,-0.666174,0.36,,,,,,,,,,,,,,
223,32.5008,32.5008,-0.646568,0.4,,,,,,,,,,,,,,
224,32.6472,32.6472,-0.668237,0.32,,,,,,,,,,,,,,
225,32.7936,32.7936,-0.691254,0.25,,,,,,,,,,,,,,
226,32.94,32.94,-0.71395,0.22,,,,,,,,,,,,,,
227,33.0864,33.0864,-0.736758,0.18,,,,,,,,,,,,,,
228,33.2328,33.2328,-0.759368,0.15,,,,,,,,,,,,,,
229,33.3792,33.3792,-0.782228,0.13,,,,,,,,,,,,,,
230,33.5256,33.5256,-0.804953,0.12,,,,,,,,,,,,,,
231,33.672,33.672,-0.827491,0.09,,,,,,,,,,,,,,
232,33.8184,33.8184,-0.850338,0.08,,,,,,,,,,,,,,
233,33.9648,33.9648,-0.873012,0.08,,,,,,,,,,,,,,
234,34.1112,34.1112,-0.895662,0.07,,,,,,,,,,,,,,
235,34.2576,34.2576,-0.918281,0.05,,,,,,,,,,,,,,
236,34.404,34.404,-0.941033,0.05,,,,,,,,,,,,,,
237,34.5504,34.5504,-0.963591,0.05,,,,,,,,,,,,,,
238,34.6968,34.6968,-0.986475,0.05,,,,,,,,,,,,,,
239,34.8432,34.8432,-1.009146,0.04,,,,,,,,,,,,,,
240,34.9896,34.9896,-1.031813,0.01,,,,,,,,,,,,,,
241,35.136,35.136,-1.054438,0.03,,,,,,,,,,,,,,
242,35.2824,35.2824,-1.077249,0.03,,,,,,,,,,,,,,
